primitive,run,T_avg_ms,U_res_pct,F_rate
p1,1,0.25949733039313294,0.5087852741518942,0
p1,2,0.27102152468240065,0.5991320134964888,0
p1,3,0.2646527774270738,0.6142985678290185,0
p1,4,0.2655645507584487,0.6394006430095303,0
p1,5,0.277421941664329,0.5543792502516622,0
p2,1,0.31335127245650135,0.6151781805361278,0
p2,2,0.3041570367295431,0.4573996299018774,0
p2,3,0.33229535065770477,0.6339427934514483,0
p2,4,0.3454310940115481,0.6219637202056951,0
p2,5,0.3174616448170877,0.6742811883414597,0
p3,1,6.422245937254758,0.43089913175187605,0
p3,2,6.764981847826087,0.42564809197093884,0
p3,3,6.138407630434783,0.41087104360575405,0
p3,4,7.026899173913042,0.4131827546291038,0
p3,5,6.228210717391304,0.4091340896818502,0
p4,1,7.97112013564239,0.3405735746895139,0
p4,2,6.220171326086956,0.27831549020904744,0
p4,3,7.440434000000001,0.4038508036959123,0
p4,4,6.260892760869566,0.40927663286366817,0
p4,5,6.567266717391305,0.3586715077337689,0
p5,1,6.225557130434783,0.036640107511211134,0
p5,2,6.688135802209057,0.04149514617078023,0
p5,3,5.9366078695652185,0.04134558825391012,0
p5,4,7.143122782608696,0.031913524518770796,0
p5,5,7.435132993496324,0.045855240837650676,0
